	samples	z
0	AD_25_vis01	0.02
1	AD_25_vis02	0.03
2	AD_11_vis01	0.07
3	AD_25_vis03	0.08
4	AD_02_vis01	0.08
5	AD_04_vis01	0.09
6	AD_13_vis01	0.1
7	AD_03_vis01	0.12
8	AD_06_vis01	0.12
9	AD_14_vis01	0.12
10	AD_17_vis02	0.49
11	AD_15_vis03	0.56
12	AD_29_vis01	0.59
13	AD_06_vis02	0.59
14	AD_06_vis03	0.59
15	AD_15_vis04	0.62
16	AD_06_vis04	0.62
17	AD_16_vis01	0.64
18	AD_11_vis02	0.64
19	AD_16_vis02	0.65
20	AD_06_vis05	0.65
21	AD_15_vis05	0.66
22	AD_08_vis01	0.7000000000000001
23	AD_16_vis03	0.73
24	AD_16_vis04	0.73
25	AD_16_vis05	0.77
26	AD_30_vis01	0.79
27	AD_25_vis04	0.8200000000000001
28	AD_13_vis03	0.84
29	AD_13_vis02	0.84
30	AD_24_vis01	0.84
31	AD_13_vis04	0.85
32	AD_02_vis02	0.9
33	AD_13_vis05	0.9
34	AD_26_vis01	0.92
35	AD_09_vis01	0.93
36	AD_07_vis01	0.9400000000000001
37	AD_09_vis02	0.9400000000000001
38	AD_23_vis02	0.9500000000000001
39	AD_02_vis04	0.9500000000000001
40	AD_23_vis01	0.9500000000000001
41	AD_02_vis03	0.9500000000000001
42	AD_22_vis05	0.96
43	AD_23_vis03	0.96
44	AD_02_vis05	0.98
